Adres => Niepoprawny adres IPv4! 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
10.0.0.0/8 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
172.16.0.0/20 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
192.168.0.0/16 => Duplikacja prefix w pliku 
10.11.0.0/23 => Duplikacja prefix w pliku 
10.11.0.0/23 => Duplikacja prefix w pliku 
10.11.0.0/23 => Duplikacja prefix w pliku 
10.11.0.0/23 => Duplikacja prefix w pliku 
10.11.0.0/23 => Duplikacja prefix w pliku 
10.11.16.0/23 => Duplikacja prefix w pliku 
10.11.16.0/23 => Duplikacja prefix w pliku 
10.11.16.0/23 => Duplikacja prefix w pliku 
10.11.16.0/23 => Duplikacja prefix w pliku 
10.11.16.0/23 => Duplikacja prefix w pliku 
172.20.31.232/30 => Duplikacja prefix w pliku 
172.20.31.232/30 => Duplikacja prefix w pliku 
172.20.31.232/30 => Duplikacja prefix w pliku 
172.20.31.232/30 => Duplikacja prefix w pliku 
172.20.31.232/30 => Duplikacja prefix w pliku 
10.11.2.0/23 => Duplikacja prefix w pliku 
10.11.2.0/23 => Duplikacja prefix w pliku 
10.11.2.0/23 => Duplikacja prefix w pliku 
10.11.2.0/23 => Duplikacja prefix w pliku 
10.11.2.0/23 => Duplikacja prefix w pliku 
10.11.4.0/23 => Duplikacja prefix w pliku 
10.11.4.0/23 => Duplikacja prefix w pliku 
10.11.4.0/23 => Duplikacja prefix w pliku 
10.11.4.0/23 => Duplikacja prefix w pliku 
10.11.4.0/23 => Duplikacja prefix w pliku 
10.11.6.0/23 => Duplikacja prefix w pliku 
10.11.6.0/23 => Duplikacja prefix w pliku 
10.11.6.0/23 => Duplikacja prefix w pliku 
10.11.6.0/23 => Duplikacja prefix w pliku 
10.11.6.0/23 => Duplikacja prefix w pliku 
10.11.8.0/23 => Duplikacja prefix w pliku 
10.11.8.0/23 => Duplikacja prefix w pliku 
10.11.8.0/23 => Duplikacja prefix w pliku 
10.11.8.0/23 => Duplikacja prefix w pliku 
10.11.8.0/23 => Duplikacja prefix w pliku 
10.11.10.0/23 => Duplikacja prefix w pliku 
10.11.10.0/23 => Duplikacja prefix w pliku 
10.11.10.0/23 => Duplikacja prefix w pliku 
10.11.10.0/23 => Duplikacja prefix w pliku 
10.11.10.0/23 => Duplikacja prefix w pliku 
10.11.12.0/23 => Duplikacja prefix w pliku 
10.11.12.0/23 => Duplikacja prefix w pliku 
10.11.12.0/23 => Duplikacja prefix w pliku 
10.11.12.0/23 => Duplikacja prefix w pliku 
10.11.12.0/23 => Duplikacja prefix w pliku 
10.11.14.0/23 => Duplikacja prefix w pliku 
10.11.14.0/23 => Duplikacja prefix w pliku 
10.11.14.0/23 => Duplikacja prefix w pliku 
10.11.14.0/23 => Duplikacja prefix w pliku 
10.11.14.0/23 => Duplikacja prefix w pliku 
10.11.18.0/23 => Duplikacja prefix w pliku 
10.11.18.0/23 => Duplikacja prefix w pliku 
10.11.18.0/23 => Duplikacja prefix w pliku 
10.11.18.0/23 => Duplikacja prefix w pliku 
10.11.18.0/23 => Duplikacja prefix w pliku 
10.11.20.0/23 => Duplikacja prefix w pliku 
10.11.20.0/23 => Duplikacja prefix w pliku 
10.11.20.0/23 => Duplikacja prefix w pliku 
10.11.20.0/23 => Duplikacja prefix w pliku 
10.11.20.0/23 => Duplikacja prefix w pliku 
10.11.22.0/23 => Duplikacja prefix w pliku 
10.11.22.0/23 => Duplikacja prefix w pliku 
10.11.22.0/23 => Duplikacja prefix w pliku 
10.11.22.0/23 => Duplikacja prefix w pliku 
10.11.22.0/23 => Duplikacja prefix w pliku 
10.11.24.0/23 => Duplikacja prefix w pliku 
10.11.24.0/23 => Duplikacja prefix w pliku 
10.11.24.0/23 => Duplikacja prefix w pliku 
10.11.24.0/23 => Duplikacja prefix w pliku 
10.11.24.0/23 => Duplikacja prefix w pliku 
10.11.26.0/23 => Duplikacja prefix w pliku 
10.11.26.0/23 => Duplikacja prefix w pliku 
10.11.26.0/23 => Duplikacja prefix w pliku 
10.11.26.0/23 => Duplikacja prefix w pliku 
10.11.26.0/23 => Duplikacja prefix w pliku 
10.11.28.0/23 => Duplikacja prefix w pliku 
10.11.28.0/23 => Duplikacja prefix w pliku 
10.11.28.0/23 => Duplikacja prefix w pliku 
10.11.28.0/23 => Duplikacja prefix w pliku 
10.11.28.0/23 => Duplikacja prefix w pliku 
10.11.30.0/23 => Duplikacja prefix w pliku 
10.11.30.0/23 => Duplikacja prefix w pliku 
10.11.30.0/23 => Duplikacja prefix w pliku 
10.11.30.0/23 => Duplikacja prefix w pliku 
10.11.30.0/23 => Duplikacja prefix w pliku 
10.11.32.0/23 => Duplikacja prefix w pliku 
10.11.32.0/23 => Duplikacja prefix w pliku 
10.11.32.0/23 => Duplikacja prefix w pliku 
10.11.32.0/23 => Duplikacja prefix w pliku 
10.11.32.0/23 => Duplikacja prefix w pliku 
10.11.34.0/23 => Duplikacja prefix w pliku 
10.11.34.0/23 => Duplikacja prefix w pliku 
10.11.34.0/23 => Duplikacja prefix w pliku 
10.11.34.0/23 => Duplikacja prefix w pliku 
10.11.34.0/23 => Duplikacja prefix w pliku 
10.11.36.0/23 => Duplikacja prefix w pliku 
10.11.36.0/23 => Duplikacja prefix w pliku 
10.11.36.0/23 => Duplikacja prefix w pliku 
10.11.36.0/23 => Duplikacja prefix w pliku 
10.11.36.0/23 => Duplikacja prefix w pliku 
10.11.38.0/23 => Duplikacja prefix w pliku 
10.11.38.0/23 => Duplikacja prefix w pliku 
10.11.38.0/23 => Duplikacja prefix w pliku 
10.11.38.0/23 => Duplikacja prefix w pliku 
10.11.38.0/23 => Duplikacja prefix w pliku 
10.11.40.0/23 => Duplikacja prefix w pliku 
10.11.40.0/23 => Duplikacja prefix w pliku 
10.11.40.0/23 => Duplikacja prefix w pliku 
10.11.40.0/23 => Duplikacja prefix w pliku 
10.11.40.0/23 => Duplikacja prefix w pliku 
10.11.42.0/23 => Duplikacja prefix w pliku 
10.11.42.0/23 => Duplikacja prefix w pliku 
10.11.42.0/23 => Duplikacja prefix w pliku 
10.11.42.0/23 => Duplikacja prefix w pliku 
10.11.42.0/23 => Duplikacja prefix w pliku 
10.11.44.0/23 => Duplikacja prefix w pliku 
10.11.44.0/23 => Duplikacja prefix w pliku 
10.11.44.0/23 => Duplikacja prefix w pliku 
10.11.44.0/23 => Duplikacja prefix w pliku 
10.11.44.0/23 => Duplikacja prefix w pliku 
10.11.46.0/23 => Duplikacja prefix w pliku 
10.11.46.0/23 => Duplikacja prefix w pliku 
10.11.46.0/23 => Duplikacja prefix w pliku 
10.11.46.0/23 => Duplikacja prefix w pliku 
10.11.46.0/23 => Duplikacja prefix w pliku 
10.11.48.0/23 => Duplikacja prefix w pliku 
10.11.48.0/23 => Duplikacja prefix w pliku 
10.11.48.0/23 => Duplikacja prefix w pliku 
10.11.48.0/23 => Duplikacja prefix w pliku 
10.11.48.0/23 => Duplikacja prefix w pliku 
10.11.50.0/23 => Duplikacja prefix w pliku 
10.11.50.0/23 => Duplikacja prefix w pliku 
10.11.50.0/23 => Duplikacja prefix w pliku 
10.11.50.0/23 => Duplikacja prefix w pliku 
10.11.50.0/23 => Duplikacja prefix w pliku 
10.11.52.0/23 => Duplikacja prefix w pliku 
10.11.52.0/23 => Duplikacja prefix w pliku 
10.11.52.0/23 => Duplikacja prefix w pliku 
10.11.52.0/23 => Duplikacja prefix w pliku 
10.11.52.0/23 => Duplikacja prefix w pliku 
10.11.54.0/23 => Duplikacja prefix w pliku 
10.11.54.0/23 => Duplikacja prefix w pliku 
10.11.54.0/23 => Duplikacja prefix w pliku 
10.11.54.0/23 => Duplikacja prefix w pliku 
10.11.54.0/23 => Duplikacja prefix w pliku 
10.11.56.0/23 => Duplikacja prefix w pliku 
10.11.56.0/23 => Duplikacja prefix w pliku 
