"Adres";"Adres za NATem";"Adres NAT";"Opis1";"Opis2";"Opis3";"Opis4";"Opis5"
"10.0.0.0/8";"Nie";"";"";"priv";"";"";"
"172.16.0.0/20";"Nie";"";"";"priv2";"";"";"
"192.168.0.0/16";"Nie";"";"";"priv3";"";"";"
"10.11.0.0/23";"Nie";"";"Katowice01";"LAN O&M 10.11.0.0/26 LAN HLR_Backup 10.11.0.128/26";"";"";""
"10.11.16.0/23";"Nie";"";"Poznan01";"LAN O&M 10.11.16.0/26 LAN HLR_Backup 10.11.16.128/26";"";"";""
"172.20.31.232/30";"Nie";"";"NT-HLR WARN47";"Hand-over for SIGTRAN1";"";"";""
"10.11.2.0/23";"Nie";"";"Katowice02";"LAN O&M 10.11.2.0/26";"";"";""
"10.11.4.0/23";"Nie";"";"Gliwice";"LAN O&M 10.11.4.0/26";"";"";""
"10.11.6.0/23";"Nie";"";"Krakow";"LAN O&M 10.11.6.0/26";"";"";""
"10.11.8.0/23";"Nie";"";"Rzeszow";"LAN O&M 10.11.8.0/26";"";"";""
"10.11.10.0/23";"Nie";"";"Krakow MSC02";"reserved";"";"";""
"10.11.12.0/23";"Nie";"";"Radzionkow";"reserved";"";"";""
"10.11.14.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.18.0/23";"Nie";"";"Poznan02";"LAN O&M 10.11.18.0/26";"";"";""
"10.11.20.0/23";"Nie";"";"Wroclaw";"LAN O&M 10.11.20.0/26";"";"";""
"10.11.22.0/23";"Nie";"";"Szczecin";"LAN O&M 10.11.22.0/26";"";"";""
"10.11.24.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.26.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.28.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.30.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.32.0/23";"Nie";"";"Gdansk01";"LAN O&M 10.11.32.0/26 LAN HLR_Backup 10.11.32.128/26";"";"";""
"10.11.34.0/23";"Nie";"";"Gdansk02";"LAN O&M 10.11.34.0/26 LAN HLR_Backup 10.11.34.128/26";"";"";""
"10.11.36.0/23";"Nie";"";"Bydgoszcz";"LAN O&M 10.11.36.0/26";"";"";""
"10.11.38.0/23";"Nie";"";"Olsztyn";"LAN O&M 10.11.38.0/26";"";"";""
"10.11.40.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.42.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.44.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.46.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.48.0/23";"Nie";"";"lodz";"LAN O&M 10.11.48.0/26 LAN HLR_Backup 10.11.48.128/26";"";"";""
"10.11.50.0/23";"Nie";"";"Warszawa01";"LAN O&M 10.11.50.0/26";"";"";""
"10.11.52.0/23";"Nie";"";"Warszawa02";"LAN O&M 10.11.52.0/26 LAN HLR_Backup 10.11.52.128/26";"";"";""
"10.11.54.0/23";"Nie";"";"Warszawa03";"LAN O&M 10.11.54.0/26 LAN HLR_Backup 10.11.54.128/26";"";"";""
"10.11.56.0/23";"Nie";"";"Warszawa/Mokotow";"reserved";"";"";""
"10.11.58.0/23";"Nie";"";"";"reserved";"";"";""
"10.11.62.0/24";"Nie";"";"Loopbacks area 0";"reserved";"";"";""
"172.20.159.232/30";"Nie";"";"NT-HLR WARN47";"Hand-over for SIGTRAN2";"";"";""
"10.11.126.0/24";"Nie";"";"";"STP";"";"";""
"10.11.131.0/26";"Nie";"";"OAS_1 Network (Nowogrodzka)";"FW-WARKA";"";"";""
"10.11.132.0/27";"Nie";"";"MMX pilot LAN";"FW-WARKA";"";"";""
"10.11.132.112/28";"Nie";"";"L3 VLAN for MMX pilot ";"FW-WARKA";"";"";""
"10.11.146.0/26";"Nie";"";"Produkcja RBT";"FW WARKA";"";"";""
"10.11.146.64/27";"Nie";"";"Testbed RBT";"FW WARKA";"";"";""
"10.11.146.96/27";"Nie";"";"Produkcja RBT LB Serwer? Aplikacyjnych";"FW WARKA";"";"";""
"10.11.146.192/28";"Nie";"";"Produkcja-interconnect-RBT ";"FW WARKA";"";"";""
"10.11.146.208/28";"Nie";"";"Testbed-interconnect-RBT";"FW WARKA";"";"";""
"10.11.172.128/28";"Nie";"";"MVNE-IN-WAN";"N11-Kaz connection";"";"";""
"10.11.190.0/25";"Nie";"";"IN_Testbed_Kazimierzowska";"Kazimierzowska";"";"";""
"10.11.190.224/28";"Nie";"";"IN_Testbed_SIP";"";"";"";""
"10.11.190.240/28";"Nie";"";"IN_Testbed_RTP";"";"";"";""
"10.11.191.0/27";"Nie";"";"IN Testbed Kazimierzowska";"";"";"";""
"10.11.192.0/25";"Nie";"";"Aepona na Kazimierzowskiej (FW-VAS3/4)";"";"";"";""
"10.11.193.32/27";"Nie";"";"DMZ TWSPRX_DB (FW-VAS3/4)";"";"";"";""
"10.11.193.64/27";"Nie";"";"DMZ TWSDMZ (wyscie do Internetu przez FWI";"";"";"";""
"10.11.193.224/29";"Nie";"";"WAN Aepona na Kazimierzowskiej (FW-VAS3/4)";"";"";"";""
"10.11.193.240/29";"Nie";"";"WAN DMZ TWSPRX_DB (FW-VAS3/4)";"";"";"";""
"10.11.223.0/28";"Nie";"";"TIS Production - Kaliska/Kasprzaka";"";"";"";""
"10.11.223.16/28";"Nie";"";"TIS Management - Kaliska/Kasprzaka";"";"";""";""
"10.11.0.0/16";"Nie";"";"PT VAS";"";"";"";""
"10.7.0.0/16";"Nie";"";"mozart";"";"";"";""
"10.11.60.0/24";"Nie";"";"";"";"";"";""
"10.11.61.0/24";"Nie";"";"WAN links area 50";"reserved";"";"";""
"10.11.63.0/24";"Nie";"";"WAN links area 0";"";"";"";""
"10.11.64.0/18";"Nie";"";"";"";"";"";""
"10.11.124.248/30";"Nie";"";"Adresacja miedy R3845 a FWVAs-WARKA01";"";"";"";""
"10.11.124.252/30";"Nie";"";"Adresacja na laczu TP";"";"";"";""
"10.11.126.0/26";"Nie";"";"STP NetM Warszawa";"";"";"";""
"10.11.126.128/27";"Nie";"";"STP Warszawa";"";"";"";""
"10.11.126.160/27";"Nie";"";"";"";"";"";""
"10.11.126.192/27";"Nie";"";"STP Katowice";"";"";"";""
"10.11.127.0/27";"Nie";"";"STP_DMZ";"";"";"";""
"10.11.128.0/19";"Nie";"";"";"";"";"";""
"10.11.130.0/26";"Nie";"";"Forward-vlan10 network (on warn11-aa1-3550 i aa2)";"";"";"";""
"10.11.130.192/26";"Nie";"";"ISEP#HA4";"";"";"";""
"10.11.131.64/26";"Nie";"";"OAS_2 Network (Kazimierzowska)";"";"";"";""
"10.11.131.128/26";"Nie";"";"OAS_2 Network (Kaliska)";"";"";"";""
"10.11.131.200/29";"Nie";"";"ISEP#HA4 interconnect";"";"";"";""
"10.11.131.208/29";"Nie";"";"iSEP/OSA WAN Kaliska-Kasprzaka";"";"";"";""
"10.11.131.216/29";"Nie";"";"OAS_1_to_OAS_2_WAN network";"";"";"";""
"10.11.131.224/27";"Nie";"";"NAT for iAS connections";"";"";"";""
"10.11.135.0/26";"Nie";"";"HLR_Provisioning/SMART";"";"";"";""
"10.11.136.0/26";"Nie";"";"ERTM LAN Kazimierzowska";"";"";"";""
"10.11.136.64/27";"Nie";"";"ERTM LAN Nowogrodzka47";"";"";"";""
"10.11.136.96/29";"Nie";"";"ERTM LAN interconnection";"";"";"";""
"10.11.136.224/27";"Nie";"";"ERTM DMZ  ";"";"";"";""
"10.11.138.0/27";"Nie";"";"MultiSIM1";"";"";"";""
"10.11.138.32/27";"Nie";"";"MultiSIM2";"";"";"";""
"10.11.138.224/27";"Nie";"";"MultiSIM Interconnect";"";"";"";""
"10.11.140.128/28";"Nie";"";"Link for SIP-phone - CBR";"";"";"";""
"10.11.140.248/29";"Nie";"";"CBR SIPphone";"";"";"";""
"10.11.141.0/27";"Nie";"";"SIP-VM-Prod";"";"";"";""
"10.11.141.32/28";"Nie";"";"RTP-VM-Prod";"";"";"";""
"10.11.141.48/28";"Nie";"";"RTP-VM-TEST";"";"";"";""
"10.11.141.64/27";"Nie";"";"SIP-VM-TEST";"";"";"";""
"10.11.141.96/28";"Nie";"";"Service Bus - DMZ do CBR ";"";"";"";""
"10.11.141.240/28";"Nie";"";"NEXTGEN";"";"";"";""
"10.11.142.0/25";"Nie";"";"NLP testbed";"";"";"";""
"10.11.142.192/27";"Nie";"";"NLP Interconnect";"";"";"";""
"10.11.142.224/27";"Nie";"";"NLP Interconnect";"";"";"";""
"10.11.143.0/24";"Nie";"";"NLP Kaliska";"";"";"";""
"10.11.146.168/29";"Nie";"";"";"";"";"";""
"10.11.146.176/28";"Nie";"";"";"";"";"";""
"10.11.146.224/28";"Nie";"";"RBT DMZ WWW";"";"";"";""
"10.11.146.240/28";"Nie";"";"RBT DMZ-WWW-Interconnect ";"";"";"";""
"10.11.158.0/26";"Nie";"";"Mokotow/TP Sigtran1";"";"";"";""
"10.11.158.128/26";"Nie";"";"Mokotow/MVNE Sigtran1";"";"";"";""
"10.11.158.192/26";"Nie";"";"Mokotow/MVNE Sigtran2";"";"";"";""
"10.11.159.0/25";"Nie";"";"Mokotow/Sigtran1";"";"";"";""
"10.11.159.128/25";"Nie";"";"Mokotow/Sigtran2 ";"";"";"";""
"10.11.160.0/25";"Nie";"";"N11-WARKA/Sigtran1";"";"";"";""
"10.11.160.128/25";"Nie";"";"N11-WARKA/Sigtran2";"";"";"";""
"10.11.161.0/27";"Nie";"";"SMSC Messaging1";"";"";"";""
"10.11.161.32/27";"Nie";"";"SMSC Messaging2";"";"";"";""
"10.11.161.64/27";"Nie";"";"SMSC7 Messaging1";"";"";"";""
"10.11.161.96/27";"Nie";"";"SMSC7 Messaging2";"";"";"";""
"10.11.161.128/27";"Nie";"";"SMSC Sigtran1";"";"";"";""
"10.11.161.160/27";"Nie";"";"SMSC Sigtran2";"";"";"";""
"10.11.161.192/28";"Nie";"";"SMSC_new  Sigtran1";"";"";"";""
"10.11.161.208/28";"Nie";"";"SMSC_new  Sigtran2";"";"";"";""
"10.11.161.240/30";"Nie";"";"SMSC7 LAN Interconnect1";"";"";"";""
"10.11.161.244/30";"Nie";"";"SMSC7 LAN Interconnect2";"";"";"";""
"10.11.161.248/30";"Nie";"";"SMSC LAN Interconnect1";"";"";"";""
"10.11.161.252/30";"Nie";"";"SMSC LAN Interconnect2";"";"";"";""
"10.11.162.0/24";"Nie";"";"UMA Ericsson";"";"";"";""
"10.11.163.0/24";"Nie";"";"UMA Production Motorola";"";"";"";""
"10.11.164.0/27";"Nie";"";"IP SLA";"";"";"";""
"10.11.164.128/26";"Nie";"";"UMA Service Motorola";"";"";"";""
"10.11.164.192/27";"Nie";"";"";"";"";"";""
"10.11.165.0/25";"Nie";"";"P2T LAN";"";"";"";""
"10.11.165.224/27";"Nie";"";"P2T DMZ";"";"";"";""
"10.11.167.0/25";"Nie";"";"AEPONA testbed";"";"";"";""
"10.11.168.0/26";"Nie";"";"OTA/SIMGO network Kasprzaka   ";"";"";"";""
"10.11.168.64/26";"Nie";"";"OTA/SIMGO network Kazimierzowska";"";"";"";""
"10.11.168.248/29";"Nie";"";"OTA-WAN-KAZ";"";"";"";""
"10.11.169.0/26";"Nie";"";"SDG Network Kasprzaka";"";"";"";""
"10.11.169.64/26";"Nie";"";"SDG Network Kazimierzowska";"";"";"";""
"10.11.170.0/25";"Nie";"";"SDA Application Network Kasprzaka";"";"";"";""
"10.11.170.128/26";"Nie";"";"SDA Application Network Kazimierzowska";"";"";"";""
"10.11.171.192/27";"Nie";"";"FW-VAS L3 for SDG HA";"";"";"";""
"10.11.171.224/27";"Nie";"";"FW-VAS L3 connection";"";"";"";""
"10.11.172.0/24";"Nie";"";"IN interconnection";"";"";"";""
"10.11.173.0/24";"Nie";"";"IN MGMT Kaz";"";"";"";""
"10.11.174.0/25";"Nie";"";"IN MGMT1 - Kasprzaka";"";"";"";""
"10.11.174.128/25";"Nie";"";"IN MGMT2 - Kasprzaka";"";"";"";""
"10.11.175.0/25";"Nie";"";"IN MGMT1 - Nowogrodzka11";"";"";"";""
"10.11.175.128/25";"Nie";"";"IN MGMT2 - Nowogrodzka11";"";"";"";""
"10.11.176.0/25";"Nie";"";"IN Messaging1 Kasprzaka";"";"";"";""
"10.11.176.128/25";"Nie";"";"IN Messaging2 Kasprzaka";"";"";"";""
"10.11.177.0/25";"Nie";"";"IN Messaging1 Nowogrodzka11";"";"";"";""
"10.11.177.128/25";"Nie";"";"IN Messaging2 Nowogrodzka11";"";"";"";""
"10.11.178.0/24";"Nie";"";"In Messaging Kaz";"";"";"";""
"10.11.179.0/25";"Nie";"";"Mokot?/TP MGMT";"";"";"";""
"10.11.179.128/25";"Nie";"";"Mokot?/TP Messaging";"";"";"";""
"10.11.181.0/24";"Nie";"";"Callect Calls";"";"";"";""
"10.11.182.0/24";"Nie";"";"IN_Management_Kaliska";"";"";"";""
"10.11.183.0/24";"Nie";"";"IN_Messaging_Kaliska";"";"";"";""
"10.11.140.0/24";"Nie";"";"";"";"";"";""
"10.1.0.0/16";"Nie";"";"ATM network";"";"";"";""
"10.11.0.0/17";"Nie";"";"NSS network";"";"";"";""
"10.11.128.0/24";"Nie";"";"";"";"";"";""
"10.11.129.0/24";"Nie";"";"";"";"";"";""
"10.11.160.0/24";"Nie";"";"Nokia IN internal";"";"";"";""
"10.11.164.0/26";"Nie";"";"Chat Public";"";"";"";""
"10.11.164.64/26";"Nie";"";"Chat Internal";"";"";"";""
"10.60.255.0/24";"Nie";"";"Houston";"";"";"";""
"10.60.64.0/24";"Nie";"";"MMS network";"";"";"";""
"10.60.74.0/24";"Nie";"";"NWG Kazimierzowska";"";"";"";""
"10.60.77.0/24";"Nie";"";"WAP & MMSC Core";"";"";"";""
"172.16.10.0/24";"Nie";"";"GRE OSN BE";"";"";"";""
"172.16.11.0/24";"Nie";"";"GRE OSN FE";"";"";"";""
"172.16.14.0/25";"Nie";"";"GPRS OSN BE/DMZ GRX";"";"";"";""
"172.16.14.128/25";"Nie";"";"GPRS OSN FE";"";"";"";""
"172.16.15.0/27";"Nie";"";"Radius DMZ";"";"";"";""
"172.16.15.128/27";"Nie";"";"MMSC -Interconnect (P4)";"";"";"";""
"172.16.15.160/27";"Nie";"";"MDSP -Interconnect";"";"";"";""
"172.16.15.192/27";"Nie";"";"GRX_Out (Crossbeam-ISR)";"";"";"";""
"172.16.15.224/27";"Nie";"";"GRX_Interconnect";"";"";"";""
"172.16.15.27/32";"Nie";"";"rdb-war01";"";"";"";""
"172.16.15.30/32";"Nie";"";"radius-war01";"";"";"";""
"172.16.15.32/27";"Nie";"";"streaming";"";"";"";""
"172.16.16.0/27";"Nie";"";"GPRS Ga Nowogrodzka 11 VLAN";"";"";"";""
"172.16.16.128/27";"Nie";"";"GPRS Ga Kazimierzowska VLAN 202";"";"";"";""
"172.16.16.192/28";"Nie";"";"GPRS Ga Nowogrodzka11 VLAN 202";"";"";"";""
"172.16.16.32/27";"Nie";"";"GPRS Ga Kasprzaka VLAN 202";"";"";"";""
"172.16.16.80/28";"Nie";"";"GPRS Ga 3G  Kasprzaka VLAN 322";"";"";"";""
"10.11.193.232/29";"Nie";"";"WAN DMZ VPABX (FW-VAS1/2)";"";"";"";""
"10.11.193.248/29";"Nie";"";"WAN DMZ TWSDMZ (FWI)";"";"";"";""
"10.11.193.0/27";"Nie";"";"DMZ VPABX (FW-VAS1/2)";"";"";"";""
"10.11.164.32/29";"Nie";"";"IP SLA - FW Interconnection";"";"";"";""
"10.11.170.224/27";"Nie";"";"SDA GLB";"";"";"";""
"172.16.17.0/27";"Nie";"";"Interfejs Ga SGSN-KAT01";"";"";"";""
"172.16.17.32/27";"Nie";"";"Interfejs Ga SGSN-WAR05";"";"";"";""
"172.16.19.0/27";"Nie";"";"Gn1 Kazimierzowska";"";"";"";""
"172.16.19.32/27";"Nie";"";"Gn2 Kazimierzowska";"";"";"";""
"172.16.20.0/27";"Nie";"";"Gn1 Nowogrodzka11";"";"";"";""
"172.16.20.32/27";"Nie";"";"Gn2 Nowogrodzka11";"";"";"";""
"172.16.21.0/27";"Nie";"";"Gn1 Kaliska";"";"";"";""
"172.16.21.32/27";"Nie";"";"Gn2 Kaliska";"";"";"";""
"172.16.21.64/27";"Nie";"";"Gn3 Kaliska";"";"";"";""
"172.16.22.0/24";"Nie";"";"Gn Kazimierzowska FI DC";"";"";"";""
"172.16.24.0/26";"Nie";"";"Gi1_Internet Kasprzaka";"";"";"";""
"172.16.24.128/27";"Nie";"";"Gi interconnection";"";"";"";""
"172.16.24.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.24.224/27";"Nie";"";"loopbacks";"";"";"";""
"172.16.24.64/26";"Nie";"";"Gi2_Internet Kasprzaka";"";"";"";""
"172.16.25.0/26";"Nie";"";"Gi1_Internet Kazimierzowska";"";"";"";""
"172.16.25.128/27";"Nie";"";"Gi interconnection";"";"";"";""
"172.16.25.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.25.224/27";"Nie";"";"loopbacks";"";"";"";""
"172.16.25.64/26";"Nie";"";"Gi2_Internet Kazimierzowska";"";"";"";""
"172.16.26.0/26";"Nie";"";"Gi1_Internet Nowogrodzka11";"";"";"";""
"172.16.26.128/27";"Nie";"";"Gi interconnection";"";"";"";""
"172.16.26.160/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.26.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.26.224/27";"Nie";"";"loopbacks network elements";"";"";"";""
"172.16.26.64/26";"Nie";"";"Gi2_Internet Nowogrodzka11";"";"";"";""
"172.16.27.0/27";"Nie";"";"Gi3_Internet Kazimierzowska ";"";"";"";""
"172.16.27.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.27.224/27";"Nie";"";"loopbacks network elements";"";"";"";""
"172.16.27.32/27";"Nie";"";"Gi4_Internet Kazimierzowska";"";"";"";""
"172.16.28.0/27";"Nie";"";"Gi1_Internet Kaliska";"";"";"";""
"172.16.28.128/27";"Nie";"";"";"";"";"";""
"172.16.28.160/27";"Nie";"";"";"";"";"";""
"172.16.28.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.28.224/27";"Nie";"";"loopbacks network elements";"";"";"";""
"172.16.28.32/27";"Nie";"";"Gi2_Internet Kaliska";"";"";"";""
"172.16.28.64/26";"Nie";"";"";"";"";"";""
"172.16.29.0/24";"Nie";"";"Gi_Internet_3cia_instancja";"";"";"";""
"172.16.3.0/24";"Nie";"";"OSN Kaliska - SB6720";"";"";"";""
"172.16.30.0/24";"Nie";"";"Gi Kazimierzowska FI DC";"";"";"";""
"172.16.31.0/27";"Nie";"";"CMX testbed";"";"";"";""
"172.16.31.32/27";"Nie";"";""Servus - APN "testerppp" "";"";"";"";""
"172.16.32.0/27";"Nie";"";"Gi1_MVNO_Kasprzaka";"";"";"";""
"172.16.32.128/27";"Nie";"";"Gi_MVNO_interconnection";"";"";"";""
"172.16.32.192/27";"Nie";"";"loopbacks APN";"";"";"";""
"172.16.32.224/27";"Nie";"";"loopbacks network elements";"";"";"";""
